date,sample.bout,Transect,baseline,baseline.rep,Number of Points Along Transect_fromRick,Number of points along transect_ChrissyCalc,Transect_Length,Transect Point,Bank_Location,Hit Number,Species Hit,Surface Hit,Transect Point Soil Surface,VegHit_SoilSurfaceHit,Longevity,Longevity_2,Habit,FunctionalGroup2,FunctionalGroup,Nativity,Cvalue,WIS_WMVC,WIS_GP,WIS_Grouped
5/22/20,1,B3-20,B3,3,37,37,9,2.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,2.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,2.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,3,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,3.25,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,3.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,3.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,5.25,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,5.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,5.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,6,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,6.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,6.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,6.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,7,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,7.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,7.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,7.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,8,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,8.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,8.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,8.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-20,B3,3,37,37,9,9,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,0.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,0.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,1,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,1.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,1.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,1.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,2,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,2.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,2.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,2.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,3,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,3.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,3.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,4,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,4.25,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,4.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,4.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,6,lower,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,6.25,lower,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,6.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,6.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,7,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,7.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,7.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,7.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,8.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-20,B3,3,37,35,8.5,8.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,0.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,0.75,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,1,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,1.25,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,1.5,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,1.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,2,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,2.25,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,2.5,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,2.75,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,3.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,3.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,3.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,4,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,4.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,4.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,4.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,6.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,6.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,7.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,7.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,8,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,8.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,8.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,8.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-29,B3,4,37,37,9,9,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,0,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,0,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,0.25,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,0.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,0.75,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,1,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,1.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,1.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,1.75,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,2,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,2.25,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,2.5,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,2.75,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,3,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,3.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,3.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,3.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,4,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,4.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,4.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,4.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,5.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,5.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,5.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,8.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-29,B3,4,37,37,9,9,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,0.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,0.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,1,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,1.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,1.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,1.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,2,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,2.25,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,2.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,2.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,3,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,3.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,3.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,4,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,4.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,5.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,6,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,6.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,6.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,6.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,7,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,7.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,7.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,7.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,8,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,8.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/22/20,1,B3-41,B3,5,37,37,9,9,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,1.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,2,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,2.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,2.5,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,3,upper,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,3.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,3.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,3.75,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,4,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,4.25,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,4.5,middle,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,6.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,7,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,7.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,7.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,7.75,lower,1,NA,bare soil,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,7.75,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,8,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,8.25,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B3-41,B3,5,37,37,9,8.5,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,0.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,1,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,1.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,1.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,1.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,2,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,2.25,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,2.5,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,2.75,middle,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
5/26/20,1,B5-0,B5,1,18,18,4.25,3,lower,1,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,0,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,0.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,0.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,0.75,upper,1,NA,bare soil,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,0.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,1,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,1.25,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,1.5,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,1.75,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
6/29/20,2,B5-0,B5,1,18,29,7,2,upper,2,NA,litter,litter,litter,NA,NA,NA,NA NA,NA,NA,NA,NA,NA,NA
